Destination Port,Flow Duration,Total Fwd Packets,Total Bwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Fwd Header Length,Bwd Header Length,Bwd IAT Min,Bwd Packets/s,Min Packet Length,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_win_bytes_forward,Init_win_bytes_backward
3128,18.860236,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,40,0,588,2607,0,0,0,0
60161,6.607063,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,37,67,0,0,0,0
60164,0.197247,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,1,0,2,7,0,0,0,0
60167,0.298838,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,6,14,0,0,0,0
60170,1.988219,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,195,421,0,0,0,0
7680,15.46505,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,0,0,0,0,0,0
60173,0.329031,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,5,17,0,0,0,0
60176,0.2949,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,3,9,0,0,0,0
60179,12.483725,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,438,1679,0,0,0,0
60182,2.852804,0,0,0,0,inf,0,inf,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,inf,0,0,38,85,0,0,0,0
