 Destination Port, Flow Duration, Total Fwd Packets,Total Length of Fwd Packets, Fwd Packet Length Max, Fwd Packet Length Min,Bwd Packet Length Max, Bwd Packet Length Min,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length, Bwd Packets/s, Min Packet Length,FIN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Init_Win_bytes_forward, Init_Win_bytes_backward,Active Mean, Active Std, Active Max, Idle Std, Label
80,99798719,8,379,379,0,4344,0,119.9815,0.14028236,7676824.5,27700000.0,3,58360,11672.0,19518.443,45148,0,0,0,0,264,200,0.06012101,0,0,0,0,1,0,0,0,0,0,0,0,0,274,235,2015.0,0.0,2015,0.0,DoS Hulk
54293,54,1,0,0,0,0,0,0.0,37037.035,54.0,0.0,54,0,0.0,0.0,0,0,0,0,0,32,32,18518.518,0,0,0,0,1,1,1,0,0,0,0,0,0,123,586,0.0,0.0,0,0.0,BENIGN
21,8851396,9,110,25,0,34,0,33.667007,2.7114367,384843.3,1001228.6,3,8851299,632235.6,1236140.1,3235111,0,0,0,0,296,488,1.6946479,0,0,0,1,0,0,1,0,0,0,0,0,0,29200,227,0.0,0.0,0,0.0,Other
80,99996707,7,359,353,0,5792,0,119.54394,0.12000395,9090610.0,30100000.0,2,139456,34864.0,62435.473,128200,0,0,0,0,220,168,0.050001647,0,0,0,0,1,0,0,0,0,0,0,0,0,251,235,969.0,0.0,969,0.0,DoS Hulk
80,100666981,9,306,300,0,5792,0,118.22149,0.1589399,6711132.0,26000000.0,1,147622,24603.666,54878.65,136277,0,0,0,0,284,232,0.06953621,0,0,0,0,1,0,0,0,0,0,0,0,0,251,235,2040.0,0.0,2040,0.0,DoS Hulk
8011,16,1,2,2,2,6,6,500000.0,125000.0,16.0,0.0,16,0,0.0,0.0,0,0,0,0,0,24,20,62500.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1024,0,0.0,0.0,0,0.0,PortScan
80,82219784,8,56,20,0,10135,0,141.8515,0.1581128,6851648.5,22300000.0,0,1315028,328757.0,656791.44,1313944,0,0,0,0,172,112,0.060812615,0,0,0,0,1,0,0,0,0,0,0,0,0,256,229,3386940.0,0.0,3386940,0.0,DDoS
5910,48,1,0,0,0,6,6,125000.0,41666.668,48.0,0.0,48,0,0.0,0.0,0,0,0,0,0,40,20,20833.334,0,0,0,1,0,0,1,0,0,0,0,0,0,29200,0,0.0,0.0,0,0.0,PortScan
80,916966,2,20,20,0,4380,0,12673.316,7.6338706,152827.67,372001.56,75,916862,229215.5,455304.0,912167,0,0,0,0,52,112,5.452765,0,0,0,1,0,0,2,0,0,0,0,0,0,8192,229,0.0,0.0,0,0.0,DDoS
80,85901044,11,1032,344,0,4344,0,146.99472,0.19790213,5368815.0,21300000.0,1,557442,111488.4,191374.23,442020,0,0,0,0,360,200,0.069847815,0,0,0,0,1,0,0,0,0,0,0,0,0,251,235,954.0,0.0,954,0.0,DoS Hulk
